,movies,year,imdb,metascore,nv
1119,Midnight in Paris,2011,7.7,81.0,390865
1120,The Cabin in the Woods,2011,7.0,72.0,378995
1121,Moneyball,2011,7.6,87.0,373684
1122,Fast Five,2011,7.3,66.0,354449
1123,Friends with Benefits,2011,6.5,63.0,341920
1124,Super 8,2011,7.0,72.0,339677
1125,50/50,2011,7.6,72.0,316504
1126,Hugo,2011,7.5,83.0,306706
1127,Contagion,2011,6.7,70.0,284826
1128,Bridesmaids,2011,6.8,75.0,270162
1129,Kung Fu Panda 2,2011,7.2,67.0,255895
1130,The Grey,2011,6.8,64.0,241612
1131,Rango,2011,7.2,75.0,238977
1132,The Descendants,2011,7.3,84.0,233565
1133,The Artist,2011,7.9,89.0,231710
1134,Jodaeiye Nader az Simin,2011,8.3,95.0,222080
1135,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,771608
1136,Captain America: The First Avenger,2011,6.9,66.0,748065
1137,X: First Class,2011,7.7,65.0,648938
1138,Drive,2011,7.8,78.0,576043
1139,Rise of the Planet of the Apes,2011,7.6,68.0,497762
1140,Source Code,2011,7.5,74.0,487390
1141,"Crazy, Stupid, Love.",2011,7.4,68.0,476977
1142,Mission: Impossible - Ghost Protocol,2011,7.4,73.0,459459
1143,Warrior,2011,8.2,71.0,438857
1144,The Help,2011,8.0,62.0,431535
1145,The Girl with the Dragon Tattoo,2011,7.8,71.0,426754
1146,Midnight in Paris,2011,7.7,81.0,390865
1147,The Cabin in the Woods,2011,7.0,72.0,378995
1148,Moneyball,2011,7.6,87.0,373684
1149,Fast Five,2011,7.3,66.0,354449
1150,Friends with Benefits,2011,6.5,63.0,341920
1151,Super 8,2011,7.0,72.0,339677
1152,50/50,2011,7.6,72.0,316504
1153,Hugo,2011,7.5,83.0,306706
1154,Contagion,2011,6.7,70.0,284826
1155,Bridesmaids,2011,6.8,75.0,270162
1156,Kung Fu Panda 2,2011,7.2,67.0,255895
1157,The Grey,2011,6.8,64.0,241612
1158,Rango,2011,7.2,75.0,238977
1159,The Descendants,2011,7.3,84.0,233565
1160,The Artist,2011,7.9,89.0,231710
1161,Jodaeiye Nader az Simin,2011,8.3,95.0,222080
1162,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,771608
1163,Captain America: The First Avenger,2011,6.9,66.0,748065
1164,X: First Class,2011,7.7,65.0,648938
1165,Drive,2011,7.8,78.0,576043
1166,Rise of the Planet of the Apes,2011,7.6,68.0,497762
1167,Source Code,2011,7.5,74.0,487390
1168,"Crazy, Stupid, Love.",2011,7.4,68.0,476977
1169,Mission: Impossible - Ghost Protocol,2011,7.4,73.0,459459
1170,Warrior,2011,8.2,71.0,438857
1171,The Help,2011,8.0,62.0,431535
1172,The Girl with the Dragon Tattoo,2011,7.8,71.0,426754
1173,Midnight in Paris,2011,7.7,81.0,390865
1174,The Cabin in the Woods,2011,7.0,72.0,378995
1175,Moneyball,2011,7.6,87.0,373684
1176,Fast Five,2011,7.3,66.0,354449
1177,Friends with Benefits,2011,6.5,63.0,341920
1178,Super 8,2011,7.0,72.0,339677
1179,50/50,2011,7.6,72.0,316504
1180,Hugo,2011,7.5,83.0,306706
1181,Contagion,2011,6.7,70.0,284826
1182,Bridesmaids,2011,6.8,75.0,270162
1183,Kung Fu Panda 2,2011,7.2,67.0,255895
1184,The Grey,2011,6.8,64.0,241612
1185,Rango,2011,7.2,75.0,238977
1186,The Descendants,2011,7.3,84.0,233565
1187,The Artist,2011,7.9,89.0,231710
1188,Jodaeiye Nader az Simin,2011,8.3,95.0,222080
1189,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,771608
1190,Captain America: The First Avenger,2011,6.9,66.0,748065
1191,X: First Class,2011,7.7,65.0,648938
1192,Drive,2011,7.8,78.0,576043
1193,Rise of the Planet of the Apes,2011,7.6,68.0,497762
1194,Source Code,2011,7.5,74.0,487390
1195,"Crazy, Stupid, Love.",2011,7.4,68.0,476977
1196,Mission: Impossible - Ghost Protocol,2011,7.4,73.0,459459
1197,Warrior,2011,8.2,71.0,438857
1198,The Help,2011,8.0,62.0,431535
1199,The Girl with the Dragon Tattoo,2011,7.8,71.0,426754
1200,Midnight in Paris,2011,7.7,81.0,390865
1201,The Cabin in the Woods,2011,7.0,72.0,378995
1202,Moneyball,2011,7.6,87.0,373684
1203,Fast Five,2011,7.3,66.0,354449
1204,Friends with Benefits,2011,6.5,63.0,341920
1205,Super 8,2011,7.0,72.0,339677
1206,50/50,2011,7.6,72.0,316504
1207,Hugo,2011,7.5,83.0,306706
1208,Contagion,2011,6.7,70.0,284826
1209,Bridesmaids,2011,6.8,75.0,270162
1210,Kung Fu Panda 2,2011,7.2,67.0,255895
1211,The Grey,2011,6.8,64.0,241612
1212,Rango,2011,7.2,75.0,238977
1213,The Descendants,2011,7.3,84.0,233565
1214,The Artist,2011,7.9,89.0,231710
1215,Jodaeiye Nader az Simin,2011,8.3,95.0,222080
1216,The Dark Knight Rises,2012,8.4,78.0,1527589
1217,Django Unchained,2012,8.4,81.0,1371430
1218,The Avengers,2012,8.0,69.0,1269127
1219,The Hunger Games,2012,7.2,68.0,848843
1220,Silver Linings Playbook,2012,7.7,81.0,665729
1221,Skyfall,2012,7.8,81.0,633217
1222,Life of Pi,2012,7.9,79.0,584430
1223,Argo,2012,7.7,86.0,576593
1224,Ted,2012,6.9,62.0,572594
1225,Prometheus,2012,7.0,64.0,570877
1226,The Amazing Spider-Man,2012,6.9,66.0,561870
1227,Looper,2012,7.4,84.0,537117
1228,21 Jump Street,2012,7.2,69.0,513378
1229,The Perks of Being a Wallflower,2012,8.0,67.0,465934
1230,Wreck-It Ralph,2012,7.7,72.0,382905
1231,Brave,2012,7.1,69.0,375917
1232,Flight,2012,7.3,76.0,328027
1233,Moonrise Kingdom,2012,7.8,84.0,321408
1234,Les Misérables,2012,7.6,63.0,310706
1235,The Bourne Legacy,2012,6.6,61.0,286476
1236,Jagten,2012,8.3,77.0,285999
1237,Pitch Perfect,2012,7.1,66.0,278462
1238,Zero Dark Thirty,2012,7.4,95.0,274192
1239,The Place Beyond the Pines,2012,7.3,68.0,248709
1240,Lincoln,2012,7.3,86.0,246366
1241,Seven Psychopaths,2012,7.2,66.0,242725
1242,Chronicle,2012,7.0,69.0,240456
1243,End of Watch,2012,7.6,68.0,229437
1244,Lo imposible,2012,7.6,73.0,202786
1245,The Dark Knight Rises,2012,8.4,78.0,1527589
1246,Django Unchained,2012,8.4,81.0,1371430
1247,The Avengers,2012,8.0,69.0,1269127
1248,The Hunger Games,2012,7.2,68.0,848843
1249,Silver Linings Playbook,2012,7.7,81.0,665729
1250,Skyfall,2012,7.8,81.0,633217
1251,Life of Pi,2012,7.9,79.0,584430
1252,Argo,2012,7.7,86.0,576593
1253,Ted,2012,6.9,62.0,572594
1254,Prometheus,2012,7.0,64.0,570877
1255,The Amazing Spider-Man,2012,6.9,66.0,561870
1256,Looper,2012,7.4,84.0,537117
1257,21 Jump Street,2012,7.2,69.0,513378
1258,The Perks of Being a Wallflower,2012,8.0,67.0,465934
1259,Wreck-It Ralph,2012,7.7,72.0,382905
1260,Brave,2012,7.1,69.0,375917
1261,Flight,2012,7.3,76.0,328027
1262,Moonrise Kingdom,2012,7.8,84.0,321408
1263,Les Misérables,2012,7.6,63.0,310706
1264,The Bourne Legacy,2012,6.6,61.0,286476
1265,Jagten,2012,8.3,77.0,285999
1266,Pitch Perfect,2012,7.1,66.0,278462
1267,Zero Dark Thirty,2012,7.4,95.0,274192
1268,The Place Beyond the Pines,2012,7.3,68.0,248709
1269,Lincoln,2012,7.3,86.0,246366
1270,Seven Psychopaths,2012,7.2,66.0,242725
1271,Chronicle,2012,7.0,69.0,240456
1272,End of Watch,2012,7.6,68.0,229437
1273,Lo imposible,2012,7.6,73.0,202786
1274,The Dark Knight Rises,2012,8.4,78.0,1527589
1275,Django Unchained,2012,8.4,81.0,1371430
1276,The Avengers,2012,8.0,69.0,1269127
1277,The Hunger Games,2012,7.2,68.0,848843
1278,Silver Linings Playbook,2012,7.7,81.0,665729
1279,Skyfall,2012,7.8,81.0,633217
1280,Life of Pi,2012,7.9,79.0,584430
1281,Argo,2012,7.7,86.0,576593
1282,Ted,2012,6.9,62.0,572594
1283,Prometheus,2012,7.0,64.0,570877
1284,The Amazing Spider-Man,2012,6.9,66.0,561870
1285,Looper,2012,7.4,84.0,537117
1286,21 Jump Street,2012,7.2,69.0,513378
1287,The Perks of Being a Wallflower,2012,8.0,67.0,465934
1288,Wreck-It Ralph,2012,7.7,72.0,382905
1289,Brave,2012,7.1,69.0,375917
1290,Flight,2012,7.3,76.0,328027
1291,Moonrise Kingdom,2012,7.8,84.0,321408
1292,Les Misérables,2012,7.6,63.0,310706
1293,The Bourne Legacy,2012,6.6,61.0,286476
1294,Jagten,2012,8.3,77.0,285999
1295,Pitch Perfect,2012,7.1,66.0,278462
1296,Zero Dark Thirty,2012,7.4,95.0,274192
1297,The Place Beyond the Pines,2012,7.3,68.0,248709
1298,Lincoln,2012,7.3,86.0,246366
1299,Seven Psychopaths,2012,7.2,66.0,242725
1300,Chronicle,2012,7.0,69.0,240456
1301,End of Watch,2012,7.6,68.0,229437
1302,Lo imposible,2012,7.6,73.0,202786
1303,The Dark Knight Rises,2012,8.4,78.0,1527589
1304,Django Unchained,2012,8.4,81.0,1371430
1305,The Avengers,2012,8.0,69.0,1269127
1306,The Hunger Games,2012,7.2,68.0,848843
1307,Silver Linings Playbook,2012,7.7,81.0,665729
1308,Skyfall,2012,7.8,81.0,633217
1309,Life of Pi,2012,7.9,79.0,584430
1310,Argo,2012,7.7,86.0,576593
1311,Ted,2012,6.9,62.0,572594
1312,Prometheus,2012,7.0,64.0,570877
1313,The Amazing Spider-Man,2012,6.9,66.0,561870
1314,Looper,2012,7.4,84.0,537117
1315,21 Jump Street,2012,7.2,69.0,513378
1316,The Perks of Being a Wallflower,2012,8.0,67.0,465934
1317,Wreck-It Ralph,2012,7.7,72.0,382905
1318,Brave,2012,7.1,69.0,375917
1319,Flight,2012,7.3,76.0,328027
1320,Moonrise Kingdom,2012,7.8,84.0,321408
1321,Les Misérables,2012,7.6,63.0,310706
1322,The Bourne Legacy,2012,6.6,61.0,286476
1323,Jagten,2012,8.3,77.0,285999
1324,Pitch Perfect,2012,7.1,66.0,278462
1325,Zero Dark Thirty,2012,7.4,95.0,274192
1326,The Place Beyond the Pines,2012,7.3,68.0,248709
1327,Lincoln,2012,7.3,86.0,246366
1328,Seven Psychopaths,2012,7.2,66.0,242725
1329,Chronicle,2012,7.0,69.0,240456
1330,End of Watch,2012,7.6,68.0,229437
1331,Lo imposible,2012,7.6,73.0,202786
1332,The Wolf of Wall Street,2013,8.2,75.0,1204478
1333,Gravity,2013,7.7,96.0,773341
1334,Iron Man Three,2013,7.1,62.0,762193
1335,12 Years a Slave,2013,8.1,96.0,645977
1336,The Hunger Games: Catching Fire,2013,7.5,76.0,616807
1337,Prisoners,2013,8.1,70.0,608155
1338,World War Z,2013,7.0,63.0,605327
1339,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,605198
1340,Frozen,2013,7.4,75.0,576120
1341,Her,2013,8.0,90.0,546239
1342,Pacific Rim,2013,6.9,65.0,467966
1343,Star Trek Into Darkness,2013,7.7,72.0,464656
1344,American Hustle,2013,7.2,90.0,451630
1345,Dallas Buyers Club,2013,8.0,80.0,445848
1346,The Conjuring,2013,7.5,68.0,445609
1347,Rush,2013,8.1,74.0,435999
1348,The Wolverine,2013,6.7,61.0,432400
1349,Captain Phillips,2013,7.8,82.0,424392
1350,Elysium,2013,6.6,61.0,420969
1351,This Is the End,2013,6.6,67.0,386032
1352,Despicable Me 2,2013,7.3,62.0,371843
1353,Furious 6,2013,7.0,61.0,370287
1354,Snowpiercer,2013,7.1,84.0,325840
1355,Monsters University,2013,7.3,65.0,325281
1356,The World's End,2013,7.0,81.0,261443
1357,Don Jon,2013,6.5,66.0,229943
1358,The Wolf of Wall Street,2013,8.2,75.0,1204478
1359,Gravity,2013,7.7,96.0,773341
1360,Iron Man Three,2013,7.1,62.0,762193
1361,12 Years a Slave,2013,8.1,96.0,645977
1362,The Hunger Games: Catching Fire,2013,7.5,76.0,616807
1363,Prisoners,2013,8.1,70.0,608155
1364,World War Z,2013,7.0,63.0,605327
1365,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,605198
1366,Frozen,2013,7.4,75.0,576120
1367,Her,2013,8.0,90.0,546239
1368,Pacific Rim,2013,6.9,65.0,467966
1369,Star Trek Into Darkness,2013,7.7,72.0,464656
1370,American Hustle,2013,7.2,90.0,451630
1371,Dallas Buyers Club,2013,8.0,80.0,445848
1372,The Conjuring,2013,7.5,68.0,445609
1373,Rush,2013,8.1,74.0,435999
1374,The Wolverine,2013,6.7,61.0,432400
1375,Captain Phillips,2013,7.8,82.0,424392
1376,Elysium,2013,6.6,61.0,420969
1377,This Is the End,2013,6.6,67.0,386032
1378,Despicable Me 2,2013,7.3,62.0,371843
1379,Furious 6,2013,7.0,61.0,370287
1380,Snowpiercer,2013,7.1,84.0,325840
1381,Monsters University,2013,7.3,65.0,325281
1382,The World's End,2013,7.0,81.0,261443
1383,Don Jon,2013,6.5,66.0,229943
1384,The Wolf of Wall Street,2013,8.2,75.0,1204478
1385,Gravity,2013,7.7,96.0,773341
1386,Iron Man Three,2013,7.1,62.0,762193
1387,12 Years a Slave,2013,8.1,96.0,645977
1388,The Hunger Games: Catching Fire,2013,7.5,76.0,616807
1389,Prisoners,2013,8.1,70.0,608155
1390,World War Z,2013,7.0,63.0,605327
1391,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,605198
1392,Frozen,2013,7.4,75.0,576120
1393,Her,2013,8.0,90.0,546239
1394,Pacific Rim,2013,6.9,65.0,467966
1395,Star Trek Into Darkness,2013,7.7,72.0,464656
1396,American Hustle,2013,7.2,90.0,451630
1397,Dallas Buyers Club,2013,8.0,80.0,445848
1398,The Conjuring,2013,7.5,68.0,445609
1399,Rush,2013,8.1,74.0,435999
1400,The Wolverine,2013,6.7,61.0,432400
1401,Captain Phillips,2013,7.8,82.0,424392
1402,Elysium,2013,6.6,61.0,420969
1403,This Is the End,2013,6.6,67.0,386032
1404,Despicable Me 2,2013,7.3,62.0,371843
1405,Furious 6,2013,7.0,61.0,370287
1406,Snowpiercer,2013,7.1,84.0,325840
1407,Monsters University,2013,7.3,65.0,325281
1408,The World's End,2013,7.0,81.0,261443
1409,Don Jon,2013,6.5,66.0,229943
1410,The Wolf of Wall Street,2013,8.2,75.0,1204478
1411,Gravity,2013,7.7,96.0,773341
1412,Iron Man Three,2013,7.1,62.0,762193
1413,12 Years a Slave,2013,8.1,96.0,645977
1414,The Hunger Games: Catching Fire,2013,7.5,76.0,616807
1415,Prisoners,2013,8.1,70.0,608155
1416,World War Z,2013,7.0,63.0,605327
1417,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,605198
1418,Frozen,2013,7.4,75.0,576120
1419,Her,2013,8.0,90.0,546239
1420,Pacific Rim,2013,6.9,65.0,467966
1421,Star Trek Into Darkness,2013,7.7,72.0,464656
1422,American Hustle,2013,7.2,90.0,451630
1423,Dallas Buyers Club,2013,8.0,80.0,445848
1424,The Conjuring,2013,7.5,68.0,445609
1425,Rush,2013,8.1,74.0,435999
1426,The Wolverine,2013,6.7,61.0,432400
1427,Captain Phillips,2013,7.8,82.0,424392
1428,Elysium,2013,6.6,61.0,420969
1429,This Is the End,2013,6.6,67.0,386032
1430,Despicable Me 2,2013,7.3,62.0,371843
1431,Furious 6,2013,7.0,61.0,370287
1432,Snowpiercer,2013,7.1,84.0,325840
1433,Monsters University,2013,7.3,65.0,325281
1434,The World's End,2013,7.0,81.0,261443
1435,Don Jon,2013,6.5,66.0,229943
1436,Interstellar,2014,8.6,74.0,1531543
1437,Guardians of the Galaxy,2014,8.0,76.0,1051870
1438,Gone Girl,2014,8.1,79.0,870175
1439,Captain America: The Winter Soldier,2014,7.7,70.0,743557
1440,Whiplash,2014,8.5,88.0,726643
1441,The Grand Budapest Hotel,2014,8.1,88.0,716276
1442,The Imitation Game,2014,8.0,73.0,691421
1443,X-Men: Days of Future Past,2014,7.9,75.0,663983
1444,Edge of Tomorrow,2014,7.9,71.0,604521
1445,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,584464
1446,John Wick,2014,7.4,68.0,544656
1447,Ex Machina,2014,7.7,78.0,478063
1448,Nightcrawler,2014,7.9,76.0,472162
1449,Lucy,2014,6.4,61.0,450277
1450,American Sniper,2014,7.3,72.0,442785
1451,Fury,2014,7.6,64.0,430906
1452,The Hunger Games: Mockingjay - Part 1,2014,6.6,64.0,416725
1453,Big Hero 6,2014,7.8,74.0,414145
1454,Dawn of the Planet of the Apes,2014,7.6,79.0,413318
1455,The Theory of Everything,2014,7.7,72.0,408121
1456,Godzilla,2014,6.4,62.0,380414
1457,22 Jump Street,2014,7.0,71.0,347784
1458,The Fault in Our Stars,2014,7.7,69.0,346581
1459,Boyhood,2014,7.9,100.0,337114
1460,The Lego Movie,2014,7.7,83.0,325461
1461,How to Train Your Dragon 2,2014,7.8,76.0,307696
1462,Neighbors,2014,6.3,68.0,288849
1463,Predestination,2014,7.5,69.0,254918
1464,Noah,2014,5.7,68.0,244179
1465,It Follows,2014,6.8,83.0,212314
1466,The Babadook,2014,6.8,86.0,198744
1467,Interstellar,2014,8.6,74.0,1531543
1468,Guardians of the Galaxy,2014,8.0,76.0,1051870
1469,Gone Girl,2014,8.1,79.0,870175
1470,Captain America: The Winter Soldier,2014,7.7,70.0,743557
1471,Whiplash,2014,8.5,88.0,726643
1472,The Grand Budapest Hotel,2014,8.1,88.0,716276
1473,The Imitation Game,2014,8.0,73.0,691421
1474,X-Men: Days of Future Past,2014,7.9,75.0,663983
1475,Edge of Tomorrow,2014,7.9,71.0,604521
1476,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,584464
1477,John Wick,2014,7.4,68.0,544656
1478,Ex Machina,2014,7.7,78.0,478063
1479,Nightcrawler,2014,7.9,76.0,472162
1480,Lucy,2014,6.4,61.0,450277
1481,American Sniper,2014,7.3,72.0,442785
1482,Fury,2014,7.6,64.0,430906
1483,The Hunger Games: Mockingjay - Part 1,2014,6.6,64.0,416725
1484,Big Hero 6,2014,7.8,74.0,414145
1485,Dawn of the Planet of the Apes,2014,7.6,79.0,413318
1486,The Theory of Everything,2014,7.7,72.0,408121
1487,Godzilla,2014,6.4,62.0,380414
1488,22 Jump Street,2014,7.0,71.0,347784
1489,The Fault in Our Stars,2014,7.7,69.0,346581
1490,Boyhood,2014,7.9,100.0,337114
1491,The Lego Movie,2014,7.7,83.0,325461
1492,How to Train Your Dragon 2,2014,7.8,76.0,307696
1493,Neighbors,2014,6.3,68.0,288849
1494,Predestination,2014,7.5,69.0,254918
1495,Noah,2014,5.7,68.0,244179
1496,It Follows,2014,6.8,83.0,212314
1497,The Babadook,2014,6.8,86.0,198744
1498,Interstellar,2014,8.6,74.0,1531543
1499,Guardians of the Galaxy,2014,8.0,76.0,1051870
1500,Gone Girl,2014,8.1,79.0,870175
1501,Captain America: The Winter Soldier,2014,7.7,70.0,743557
1502,Whiplash,2014,8.5,88.0,726643
1503,The Grand Budapest Hotel,2014,8.1,88.0,716276
1504,The Imitation Game,2014,8.0,73.0,691421
1505,X-Men: Days of Future Past,2014,7.9,75.0,663983
1506,Edge of Tomorrow,2014,7.9,71.0,604521
1507,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,584464
1508,John Wick,2014,7.4,68.0,544656
1509,Ex Machina,2014,7.7,78.0,478063
1510,Nightcrawler,2014,7.9,76.0,472162
1511,Lucy,2014,6.4,61.0,450277
1512,American Sniper,2014,7.3,72.0,442785
1513,Fury,2014,7.6,64.0,430906
1514,The Hunger Games: Mockingjay - Part 1,2014,6.6,64.0,416725
1515,Big Hero 6,2014,7.8,74.0,414145
1516,Dawn of the Planet of the Apes,2014,7.6,79.0,413318
1517,The Theory of Everything,2014,7.7,72.0,408121
1518,Godzilla,2014,6.4,62.0,380414
1519,22 Jump Street,2014,7.0,71.0,347784
1520,The Fault in Our Stars,2014,7.7,69.0,346581
1521,Boyhood,2014,7.9,100.0,337114
1522,The Lego Movie,2014,7.7,83.0,325461
1523,How to Train Your Dragon 2,2014,7.8,76.0,307696
1524,Neighbors,2014,6.3,68.0,288849
1525,Predestination,2014,7.5,69.0,254918
1526,Noah,2014,5.7,68.0,244179
1527,It Follows,2014,6.8,83.0,212314
1528,The Babadook,2014,6.8,86.0,198744
1529,Interstellar,2014,8.6,74.0,1531543
1530,Guardians of the Galaxy,2014,8.0,76.0,1051870
1531,Gone Girl,2014,8.1,79.0,870175
1532,Captain America: The Winter Soldier,2014,7.7,70.0,743557
1533,Whiplash,2014,8.5,88.0,726643
1534,The Grand Budapest Hotel,2014,8.1,88.0,716276
1535,The Imitation Game,2014,8.0,73.0,691421
1536,X-Men: Days of Future Past,2014,7.9,75.0,663983
1537,Edge of Tomorrow,2014,7.9,71.0,604521
1538,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,584464
1539,John Wick,2014,7.4,68.0,544656
1540,Ex Machina,2014,7.7,78.0,478063
1541,Nightcrawler,2014,7.9,76.0,472162
1542,Lucy,2014,6.4,61.0,450277
1543,American Sniper,2014,7.3,72.0,442785
1544,Fury,2014,7.6,64.0,430906
1545,The Hunger Games: Mockingjay - Part 1,2014,6.6,64.0,416725
1546,Big Hero 6,2014,7.8,74.0,414145
1547,Dawn of the Planet of the Apes,2014,7.6,79.0,413318
1548,The Theory of Everything,2014,7.7,72.0,408121
1549,Godzilla,2014,6.4,62.0,380414
1550,22 Jump Street,2014,7.0,71.0,347784
1551,The Fault in Our Stars,2014,7.7,69.0,346581
1552,Boyhood,2014,7.9,100.0,337114
1553,The Lego Movie,2014,7.7,83.0,325461
1554,How to Train Your Dragon 2,2014,7.8,76.0,307696
1555,Neighbors,2014,6.3,68.0,288849
1556,Predestination,2014,7.5,69.0,254918
1557,Noah,2014,5.7,68.0,244179
1558,It Follows,2014,6.8,83.0,212314
1559,The Babadook,2014,6.8,86.0,198744
1560,Mad Max: Fury Road,2015,8.1,90.0,890457
1561,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,865486
1562,The Martian,2015,8.0,80.0,766930
1563,Avengers: Age of Ultron,2015,7.3,66.0,754564
1564,The Revenant,2015,8.0,76.0,712726
1565,Inside Out,2015,8.1,94.0,623726
1566,Ant-Man,2015,7.3,64.0,576996
1567,The Hateful Eight,2015,7.8,68.0,523201
1568,Spotlight,2015,8.1,93.0,424898
1569,Room,2015,8.1,86.0,376047
1570,Sicario,2015,7.6,82.0,375129
1571,The Big Short,2015,7.8,81.0,370046
1572,Fast & Furious 7,2015,7.1,67.0,361465
1573,Mission: Impossible - Rogue Nation,2015,7.4,75.0,344288
1574,Bridge of Spies,2015,7.6,81.0,290096
1575,The Hunger Games: Mockingjay - Part 2,2015,6.6,65.0,289577
1576,Creed,2015,7.6,82.0,249431
1577,Spy,2015,7.0,75.0,231113
1578,The Lobster,2015,7.2,82.0,222624
1579,The VVitch: A New-England Folktale,2015,6.9,83.0,207710
1580,Everest,2015,7.1,64.0,198708
1581,Straight Outta Compton,2015,7.8,72.0,180377
1582,Black Mass,2015,6.9,68.0,168934
1583,The Danish Girl,2015,7.1,66.0,165772
1584,Cinderella,2015,6.9,67.0,162252
1585,Steve Jobs,2015,7.2,82.0,155571
1586,Mad Max: Fury Road,2015,8.1,90.0,890457
1587,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,865486
1588,The Martian,2015,8.0,80.0,766930
1589,Avengers: Age of Ultron,2015,7.3,66.0,754564
1590,The Revenant,2015,8.0,76.0,712726
1591,Inside Out,2015,8.1,94.0,623726
1592,Ant-Man,2015,7.3,64.0,576996
1593,The Hateful Eight,2015,7.8,68.0,523201
1594,Spotlight,2015,8.1,93.0,424898
1595,Room,2015,8.1,86.0,376047
1596,Sicario,2015,7.6,82.0,375129
1597,The Big Short,2015,7.8,81.0,370046
1598,Fast & Furious 7,2015,7.1,67.0,361465
1599,Mission: Impossible - Rogue Nation,2015,7.4,75.0,344288
1600,Bridge of Spies,2015,7.6,81.0,290096
1601,The Hunger Games: Mockingjay - Part 2,2015,6.6,65.0,289577
1602,Creed,2015,7.6,82.0,249431
1603,Spy,2015,7.0,75.0,231113
1604,The Lobster,2015,7.2,82.0,222624
1605,The VVitch: A New-England Folktale,2015,6.9,83.0,207710
1606,Everest,2015,7.1,64.0,198708
1607,Straight Outta Compton,2015,7.8,72.0,180377
1608,Black Mass,2015,6.9,68.0,168934
1609,The Danish Girl,2015,7.1,66.0,165772
1610,Cinderella,2015,6.9,67.0,162252
1611,Steve Jobs,2015,7.2,82.0,155571
1612,Mad Max: Fury Road,2015,8.1,90.0,890457
1613,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,865486
1614,The Martian,2015,8.0,80.0,766930
1615,Avengers: Age of Ultron,2015,7.3,66.0,754564
1616,The Revenant,2015,8.0,76.0,712726
1617,Inside Out,2015,8.1,94.0,623726
1618,Ant-Man,2015,7.3,64.0,576996
1619,The Hateful Eight,2015,7.8,68.0,523201
1620,Spotlight,2015,8.1,93.0,424898
1621,Room,2015,8.1,86.0,376047
1622,Sicario,2015,7.6,82.0,375129
1623,The Big Short,2015,7.8,81.0,370046
1624,Fast & Furious 7,2015,7.1,67.0,361465
1625,Mission: Impossible - Rogue Nation,2015,7.4,75.0,344288
1626,Bridge of Spies,2015,7.6,81.0,290096
1627,The Hunger Games: Mockingjay - Part 2,2015,6.6,65.0,289577
1628,Creed,2015,7.6,82.0,249431
1629,Spy,2015,7.0,75.0,231113
1630,The Lobster,2015,7.2,82.0,222624
1631,The VVitch: A New-England Folktale,2015,6.9,83.0,207710
1632,Everest,2015,7.1,64.0,198708
1633,Straight Outta Compton,2015,7.8,72.0,180377
1634,Black Mass,2015,6.9,68.0,168934
1635,The Danish Girl,2015,7.1,66.0,165772
1636,Cinderella,2015,6.9,67.0,162252
1637,Steve Jobs,2015,7.2,82.0,155571
1638,Mad Max: Fury Road,2015,8.1,90.0,890457
1639,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,865486
1640,The Martian,2015,8.0,80.0,766930
1641,Avengers: Age of Ultron,2015,7.3,66.0,754564
1642,The Revenant,2015,8.0,76.0,712726
1643,Inside Out,2015,8.1,94.0,623726
1644,Ant-Man,2015,7.3,64.0,576996
1645,The Hateful Eight,2015,7.8,68.0,523201
1646,Spotlight,2015,8.1,93.0,424898
1647,Room,2015,8.1,86.0,376047
1648,Sicario,2015,7.6,82.0,375129
1649,The Big Short,2015,7.8,81.0,370046
1650,Fast & Furious 7,2015,7.1,67.0,361465
1651,Mission: Impossible - Rogue Nation,2015,7.4,75.0,344288
1652,Bridge of Spies,2015,7.6,81.0,290096
1653,The Hunger Games: Mockingjay - Part 2,2015,6.6,65.0,289577
1654,Creed,2015,7.6,82.0,249431
1655,Spy,2015,7.0,75.0,231113
1656,The Lobster,2015,7.2,82.0,222624
1657,The VVitch: A New-England Folktale,2015,6.9,83.0,207710
1658,Everest,2015,7.1,64.0,198708
1659,Straight Outta Compton,2015,7.8,72.0,180377
1660,Black Mass,2015,6.9,68.0,168934
1661,The Danish Girl,2015,7.1,66.0,165772
1662,Cinderella,2015,6.9,67.0,162252
1663,Steve Jobs,2015,7.2,82.0,155571
1664,Deadpool,2016,8.0,65.0,910890
1665,Captain America: Civil War,2016,7.8,75.0,671896
1666,Doctor Strange,2016,7.5,72.0,606286
1667,Arrival,2016,7.9,81.0,600949
1668,Rogue One,2016,7.8,65.0,561159
1669,La La Land,2016,8.0,94.0,512139
